----------------------------------------------------
User Id:1
Recommened Item Id :898, Strength of the preference : 5.0
Recommened Item Id :899, Strength of the preference : 5.0
Recommened Item Id :896, Strength of the preference : 4.928825
Recommened Item Id :906, Strength of the preference : 4.8219986
Recommened Item Id :901, Strength of the preference : 4.535507
----------------------------------------------------
User Id:2
Recommened Item Id :511, Strength of the preference : 5.0
Recommened Item Id :1073, Strength of the preference : 5.0
Recommened Item Id :83, Strength of the preference : 5.0
Recommened Item Id :183, Strength of the preference : 4.9965405
Recommened Item Id :357, Strength of the preference : 4.978896
----------------------------------------------------
User Id:3
Recommened Item Id :1558, Strength of the preference : 5.0
Recommened Item Id :178, Strength of the preference : 5.0
Recommened Item Id :154, Strength of the preference : 5.0
Recommened Item Id :661, Strength of the preference : 5.0
Recommened Item Id :169, Strength of the preference : 5.0
----------------------------------------------------
User Id:4
Recommened Item Id :88, Strength of the preference : 5.0
Recommened Item Id :520, Strength of the preference : 5.0
Recommened Item Id :515, Strength of the preference : 5.0
Recommened Item Id :475, Strength of the preference : 5.0
Recommened Item Id :66, Strength of the preference : 5.0
----------------------------------------------------
User Id:5
Recommened Item Id :262, Strength of the preference : 4.9442024
Recommened Item Id :297, Strength of the preference : 4.6358747
Recommened Item Id :315, Strength of the preference : 4.5811396
Recommened Item Id :898, Strength of the preference : 4.5
Recommened Item Id :299, Strength of the preference : 4.43758
----------------------------------------------------
User Id:6
Recommened Item Id :316, Strength of the preference : 4.680648
Recommened Item Id :292, Strength of the preference : 4.5038805
Recommened Item Id :235, Strength of the preference : 4.467687
Recommened Item Id :315, Strength of the preference : 4.2529993
Recommened Item Id :313, Strength of the preference : 4.1048055
----------------------------------------------------
User Id:7
Recommened Item Id :1293, Strength of the preference : 5.0
Recommened Item Id :880, Strength of the preference : 5.0
Recommened Item Id :408, Strength of the preference : 5.0
Recommened Item Id :1022, Strength of the preference : 5.0
Recommened Item Id :336, Strength of the preference : 5.0
----------------------------------------------------
User Id:8
Recommened Item Id :276, Strength of the preference : 5.0
Recommened Item Id :815, Strength of the preference : 5.0
Recommened Item Id :268, Strength of the preference : 4.9905443
Recommened Item Id :475, Strength of the preference : 4.979809
Recommened Item Id :1, Strength of the preference : 4.976143
----------------------------------------------------
User Id:9
Recommened Item Id :405, Strength of the preference : 4.9816666
Recommened Item Id :872, Strength of the preference : 4.9638004
Recommened Item Id :619, Strength of the preference : 4.9034576
Recommened Item Id :901, Strength of the preference : 4.7653193
Recommened Item Id :91, Strength of the preference : 4.717347
----------------------------------------------------
User Id:10
Recommened Item Id :1025, Strength of the preference : 5.0
Recommened Item Id :876, Strength of the preference : 4.96637
Recommened Item Id :1392, Strength of the preference : 4.545976
Recommened Item Id :362, Strength of the preference : 4.5276084
Recommened Item Id :887, Strength of the preference : 4.507716
----------------------------------------------------
User Id:11
Recommened Item Id :331, Strength of the preference : 5.0
Recommened Item Id :252, Strength of the preference : 4.9661717
Recommened Item Id :297, Strength of the preference : 4.55871
Recommened Item Id :901, Strength of the preference : 4.544353
Recommened Item Id :311, Strength of the preference : 4.5020037
----------------------------------------------------
User Id:12
Recommened Item Id :880, Strength of the preference : 5.0
Recommened Item Id :100, Strength of the preference : 4.9794464
Recommened Item Id :876, Strength of the preference : 4.96637
Recommened Item Id :285, Strength of the preference : 4.9550314
Recommened Item Id :750, Strength of the preference : 4.7237883
----------------------------------------------------
User Id:13
Recommened Item Id :298, Strength of the preference : 4.50294
Recommened Item Id :20, Strength of the preference : 3.8968883
Recommened Item Id :15, Strength of the preference : 3.5352855
Recommened Item Id :293, Strength of the preference : 3.4789517
Recommened Item Id :282, Strength of the preference : 3.4647145
----------------------------------------------------
User Id:14
Recommened Item Id :311, Strength of the preference : 4.921115
Recommened Item Id :347, Strength of the preference : 4.6547265
Recommened Item Id :1025, Strength of the preference : 4.561066
Recommened Item Id :332, Strength of the preference : 4.5288024
Recommened Item Id :272, Strength of the preference : 4.490666
----------------------------------------------------
User Id:15
Recommened Item Id :448, Strength of the preference : 5.0
Recommened Item Id :173, Strength of the preference : 5.0
Recommened Item Id :172, Strength of the preference : 4.993699
Recommened Item Id :234, Strength of the preference : 4.990579
Recommened Item Id :196, Strength of the preference : 4.967248
----------------------------------------------------
User Id:16
Recommened Item Id :619, Strength of the preference : 4.870654
Recommened Item Id :749, Strength of the preference : 4.512676
Recommened Item Id :354, Strength of the preference : 4.4828424
Recommened Item Id :500, Strength of the preference : 4.4289074
Recommened Item Id :329, Strength of the preference : 4.295876
----------------------------------------------------
User Id:17
Recommened Item Id :268, Strength of the preference : 5.0
Recommened Item Id :172, Strength of the preference : 4.9953265
Recommened Item Id :234, Strength of the preference : 4.9902067
Recommened Item Id :360, Strength of the preference : 4.8056345
Recommened Item Id :174, Strength of the preference : 4.731021
----------------------------------------------------
User Id:18
Recommened Item Id :329, Strength of the preference : 4.9464345
Recommened Item Id :906, Strength of the preference : 4.905295
Recommened Item Id :340, Strength of the preference : 4.4999704
Recommened Item Id :347, Strength of the preference : 4.466532
Recommened Item Id :1016, Strength of the preference : 4.4652424
----------------------------------------------------
User Id:19
Recommened Item Id :523, Strength of the preference : 5.0
Recommened Item Id :238, Strength of the preference : 4.9896193
Recommened Item Id :228, Strength of the preference : 4.985017
Recommened Item Id :483, Strength of the preference : 4.9705906
Recommened Item Id :514, Strength of the preference : 4.6088047
----------------------------------------------------
User Id:20
Recommened Item Id :750, Strength of the preference : 4.949809
Recommened Item Id :258, Strength of the preference : 4.8
Recommened Item Id :7, Strength of the preference : 4.5725727
Recommened Item Id :297, Strength of the preference : 4.569648
Recommened Item Id :346, Strength of the preference : 4.5
----------------------------------------------------
User Id:21
Recommened Item Id :475, Strength of the preference : 5.0
Recommened Item Id :86, Strength of the preference : 4.9834824
Recommened Item Id :69, Strength of the preference : 4.967778
Recommened Item Id :182, Strength of the preference : 4.9660463
Recommened Item Id :756, Strength of the preference : 4.964557
----------------------------------------------------
User Id:22
Recommened Item Id :902, Strength of the preference : 5.0
Recommened Item Id :297, Strength of the preference : 4.470308
Recommened Item Id :668, Strength of the preference : 4.4371867
Recommened Item Id :268, Strength of the preference : 4.42641
Recommened Item Id :900, Strength of the preference : 4.420418
----------------------------------------------------
User Id:23
Recommened Item Id :292, Strength of the preference : 5.0
Recommened Item Id :899, Strength of the preference : 5.0
Recommened Item Id :248, Strength of the preference : 4.9649553
Recommened Item Id :896, Strength of the preference : 4.928825
Recommened Item Id :262, Strength of the preference : 4.906945
----------------------------------------------------
User Id:24
Recommened Item Id :906, Strength of the preference : 4.8643756
Recommened Item Id :292, Strength of the preference : 4.698601
Recommened Item Id :248, Strength of the preference : 4.6656685
Recommened Item Id :329, Strength of the preference : 4.6395435
Recommened Item Id :898, Strength of the preference : 4.5432577
----------------------------------------------------
User Id:25
Recommened Item Id :297, Strength of the preference : 4.6296277
Recommened Item Id :881, Strength of the preference : 4.4827905
Recommened Item Id :750, Strength of the preference : 4.4817095
Recommened Item Id :248, Strength of the preference : 4.4667253
Recommened Item Id :877, Strength of the preference : 4.3959556
----------------------------------------------------
User Id:26
Recommened Item Id :208, Strength of the preference : 5.0
Recommened Item Id :173, Strength of the preference : 5.0
Recommened Item Id :172, Strength of the preference : 4.9933534
Recommened Item Id :238, Strength of the preference : 4.979238
Recommened Item Id :183, Strength of the preference : 4.712015
----------------------------------------------------
User Id:27
Recommened Item Id :312, Strength of the preference : 5.0
Recommened Item Id :1105, Strength of the preference : 5.0
Recommened Item Id :271, Strength of the preference : 5.0
Recommened Item Id :238, Strength of the preference : 4.9896193
Recommened Item Id :86, Strength of the preference : 4.9885845
----------------------------------------------------
User Id:28
Recommened Item Id :261, Strength of the preference : 5.0
Recommened Item Id :270, Strength of the preference : 5.0
Recommened Item Id :297, Strength of the preference : 4.9670086
Recommened Item Id :305, Strength of the preference : 4.6281857
Recommened Item Id :242, Strength of the preference : 4.4828606
----------------------------------------------------
User Id:29
Recommened Item Id :14, Strength of the preference : 5.0
Recommened Item Id :405, Strength of the preference : 4.984888
Recommened Item Id :234, Strength of the preference : 4.983575
Recommened Item Id :91, Strength of the preference : 4.965635
Recommened Item Id :103, Strength of the preference : 4.9092126
----------------------------------------------------
User Id:30
Recommened Item Id :330, Strength of the preference : 4.9504704
Recommened Item Id :750, Strength of the preference : 4.9498353
Recommened Item Id :262, Strength of the preference : 4.8957644
Recommened Item Id :297, Strength of the preference : 4.728261
Recommened Item Id :302, Strength of the preference : 4.6877913
----------------------------------------------------
User Id:31
Recommened Item Id :24, Strength of the preference : 4.9615436
Recommened Item Id :172, Strength of the preference : 4.5
Recommened Item Id :292, Strength of the preference : 4.4999747
Recommened Item Id :285, Strength of the preference : 4.4730186
Recommened Item Id :895, Strength of the preference : 4.469954
----------------------------------------------------
User Id:32
Recommened Item Id :172, Strength of the preference : 4.992916
Recommened Item Id :498, Strength of the preference : 4.9484153
Recommened Item Id :260, Strength of the preference : 4.589788
Recommened Item Id :318, Strength of the preference : 4.5316787
Recommened Item Id :12, Strength of the preference : 4.5011764
----------------------------------------------------
User Id:33
Recommened Item Id :528, Strength of the preference : 5.0
Recommened Item Id :408, Strength of the preference : 5.0
Recommened Item Id :169, Strength of the preference : 5.0
Recommened Item Id :515, Strength of the preference : 5.0
Recommened Item Id :194, Strength of the preference : 4.9934187
----------------------------------------------------
User Id:34
Recommened Item Id :408, Strength of the preference : 5.0
Recommened Item Id :508, Strength of the preference : 5.0
Recommened Item Id :187, Strength of the preference : 5.0
Recommened Item Id :137, Strength of the preference : 5.0
Recommened Item Id :189, Strength of the preference : 4.9934597
----------------------------------------------------
User Id:35
Recommened Item Id :603, Strength of the preference : 5.0
Recommened Item Id :170, Strength of the preference : 5.0
Recommened Item Id :515, Strength of the preference : 5.0
Recommened Item Id :8, Strength of the preference : 5.0
Recommened Item Id :64, Strength of the preference : 5.0
----------------------------------------------------
User Id:36
Recommened Item Id :465, Strength of the preference : 5.0
Recommened Item Id :402, Strength of the preference : 5.0
Recommened Item Id :83, Strength of the preference : 5.0
Recommened Item Id :258, Strength of the preference : 5.0
Recommened Item Id :137, Strength of the preference : 5.0
----------------------------------------------------
User Id:37
Recommened Item Id :878, Strength of the preference : 5.0
Recommened Item Id :348, Strength of the preference : 4.9464345
Recommened Item Id :883, Strength of the preference : 4.933976
Recommened Item Id :311, Strength of the preference : 4.640372
Recommened Item Id :285, Strength of the preference : 4.616302
----------------------------------------------------
User Id:38
Recommened Item Id :305, Strength of the preference : 4.6742067
Recommened Item Id :242, Strength of the preference : 4.524366
Recommened Item Id :275, Strength of the preference : 4.515172
Recommened Item Id :9, Strength of the preference : 4.4903426
Recommened Item Id :268, Strength of the preference : 4.4568815
----------------------------------------------------
User Id:39
Recommened Item Id :23, Strength of the preference : 4.9715495
Recommened Item Id :89, Strength of the preference : 4.8744974
Recommened Item Id :194, Strength of the preference : 4.8480635
Recommened Item Id :22, Strength of the preference : 4.8
Recommened Item Id :181, Strength of the preference : 4.798238
----------------------------------------------------
User Id:40
Recommened Item Id :523, Strength of the preference : 5.0
Recommened Item Id :428, Strength of the preference : 5.0
Recommened Item Id :474, Strength of the preference : 5.0
Recommened Item Id :408, Strength of the preference : 5.0
Recommened Item Id :194, Strength of the preference : 4.990128
----------------------------------------------------
User Id:41
Recommened Item Id :243, Strength of the preference : 4.952847
Recommened Item Id :1392, Strength of the preference : 4.8348126
Recommened Item Id :129, Strength of the preference : 4.593236
Recommened Item Id :340, Strength of the preference : 4.500066
Recommened Item Id :881, Strength of the preference : 4.483185
----------------------------------------------------
User Id:42
Recommened Item Id :292, Strength of the preference : 5.0
Recommened Item Id :248, Strength of the preference : 4.9649553
Recommened Item Id :243, Strength of the preference : 4.600652
